Date,benchmark_SP500,BB_COM,EUROSTOXX50,GER_10Y,JAP_10Y,N225,SP500,SPGSGC,US_10Y
2011-08-15,1204.49,158.3941,2324.48,107.57,133.23,9086.41,1204.49,1023.52,108.40625
2011-08-16,1192.76,158.3815,2323.67,108.14,133.3,9107.43,1192.76,1039.24,108.921875
2011-08-17,1193.89,159.7031,2331.12,108.73,133.4,9057.26,1193.89,1044.36,109.140625
2011-08-18,1140.65,157.0895,2206.61,109.83,133.7,8943.76,1140.65,1060.78,109.609375
2011-08-19,1123.53,159.0033,2159.07,109.77,133.85,8719.24,1123.53,1078.37,109.59375
2011-08-22,1123.82,159.8813,2183.39,109.67,133.85,8628.13,1123.82,1101.48,109.34375
2011-08-23,1162.35,160.6887,2199.98,109.49,133.64,8733.01,1162.35,1083.66,109.0625
2011-08-24,1177.6,158.3737,2238.7,108.82,133.74,8639.61,1177.6,1023.11,108.328125
2011-08-25,1159.27,159.2828,2216.7,109.26,133.51,8772.36,1159.27,1026.55,108.78125
2011-08-26,1176.8,161.1418,2190.44,109.62,133.42,8797.78,1176.8,1046.4,109.09375
2011-08-29,1210.08,161.4124,2239.3,108.9,133.65,8851.35,1210.08,1043.08,108.71875
2011-08-30,1212.92,163.4335,2239.14,109.53,133.58,8953.9,1212.92,1065.32,109.203125
2011-08-31,1218.89,164.4327,2302.08,108.93,133.51,8955.2,1218.89,1066.43,108.859375
2011-09-01,1204.42,162.9113,2305.75,109.83,133.25,9060.8,1204.42,1064.92,109.46875
2011-09-02,1173.97,162.5149,2220.72,110.95,133.4,8950.74,1173.97,1092.75,109.984375
2011-09-06,1165.24,161.2232,2080.1,112.04,134.12,8590.57,1165.24,1090.65,109.953125
2011-09-07,1198.62,162.2705,2151.16,111.82,133.86,8763.41,1198.62,1058.22,109.640625
2011-09-08,1185.9,162.747,2163.4,112.17,133.74,8793.12,1185.9,1081.45,109.984375
2011-09-09,1154.23,160.6014,2073.67,113.07,133.76,8737.66,1154.23,1082.62,110.4375
2011-09-12,1162.27,159.733,1995.01,113.32,133.9,8535.67,1162.27,1055.72,110.109375
2011-09-13,1172.87,160.1931,2036.64,112.83,133.82,8616.55,1172.87,1065.5,109.890625
